participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.control_correct,player.hours_stated_player,player.contr_task_0,player.contr_partner_0,player.contr_50noaudit_0,player.contr_50audit_0,player.contr_65noaudit_0,player.contr_35audit_0,player.contr_task,player.contr_partner,player.contr_50noaudit,player.contr_50audit,player.contr_65noaudit,player.contr_35audit,player.payoff,group.id_in_subsession,group.classifier_result,group.random_prob,group.treat,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,33g06b7v,,0,6,11,stage_1,state_hours,2019-11-19 15:43:08.221747+00:00,1,,,0.00,2,0,2,,,,,,,2,2,,,,,0.00,1,1,,,1,m9n8r7fn,,,,,,1
1,o2luqsjo,,0,4,11,stage_1,chat,2019-11-19 15:49:33.309744+00:00,1,,,0.00,1,0,,,,,,,,3,1,,,,,0.00,1,,,,1,54evm6qo,,,,,,1
2,5vwrzhj4,,0,4,11,stage_1,chat,2019-11-19 15:49:33.311797+00:00,1,,,0.00,2,0,,,,,,,,2,1,,,,,0.00,1,,,,1,54evm6qo,,,,,,1
1,sljbzf8b,,0,1,12,stage_1,ini,2019-11-20 08:39:31.281101+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,v9lw2zsd,,,,,,1
2,6vj6m34i,,0,1,12,stage_1,ini,2019-11-20 08:39:31.284151+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,v9lw2zsd,,,,,,1
1,qp2sg3k3,,0,5,11,stage_1,chat_wait,2019-11-20 09:02:45.971395+00:00,1,,,0.00,1,0,,,,,,,,2,1,,,,,0.00,1,,,,1,cbckzts4,,,,,,1
2,rpkx4uby,,0,5,11,stage_1,chat_wait,2019-11-20 09:02:45.973687+00:00,1,,,0.00,2,0,,,,,,,,2,1,,,,,0.00,1,,,,1,cbckzts4,,,,,,1
1,uns4zcgd,,0,5,11,stage_1,chat_wait,2019-11-20 09:07:37.981644+00:00,1,,,0.00,1,0,,,,,,,,2,1,,,,,0.00,1,,,,1,gsivlpz5,,,,,,1
2,kterfm87,,0,5,11,stage_1,chat_wait,2019-11-20 09:07:37.974995+00:00,1,,,0.00,2,0,,,,,,,,1,2,,,,,0.00,1,,,,1,gsivlpz5,,,,,,1
1,bngtlofe,,0,5,11,stage_1,chat_wait,2019-11-20 09:09:31.715535+00:00,1,,,0.00,1,0,,,,,,,,3,1,,,,,0.00,1,,,,1,gzxddujp,,,,,,1
2,q43386g9,,0,5,11,stage_1,chat_wait,2019-11-20 09:09:31.723759+00:00,1,,,0.00,2,0,,,,,,,,1,1,,,,,0.00,1,,,,1,gzxddujp,,,,,,1
1,g5hwltt3,,0,6,12,stage_1,chat_wait,2019-11-20 09:16:23.654926+00:00,1,,,0.00,1,0,,,,,,,,2,2,,,,,0.00,1,,,,1,r0e323ul,,,,,,1
2,1h3mp7qd,,0,6,12,stage_1,chat_wait,2019-11-20 09:16:23.657028+00:00,1,,,0.00,2,0,,,,,,,,2,1,,,,,0.00,1,,,,1,r0e323ul,,,,,,1
1,482eynz9,,0,6,12,stage_1,chat_wait,2019-11-20 09:23:29.827345+00:00,1,,,0.00,1,0,,,,,,,,1,2,,,,,0.00,1,,,,1,0hrf26z9,,,,,,1
2,ufldmqhy,,0,6,12,stage_1,chat_wait,2019-11-20 09:23:29.823001+00:00,1,,,0.00,2,0,,,,,,,,2,1,,,,,0.00,1,,,,1,0hrf26z9,,,,,,1
1,n91vpfle,,0,2,12,stage_1,introduction,2019-11-20 10:09:59.437690+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,l4asght5,,,,,,1
2,bxysddo8,,0,2,12,stage_1,introduction,2019-11-20 10:09:59.440193+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,l4asght5,,,,,,1
1,v7ax8azv,,0,4,12,stage_1,chat_wait_before,2019-11-20 10:31:43.785859+00:00,1,,,0.00,1,0,,,,,,,,2,2,,,,,0.00,1,,,,1,erqhkxpk,,,,,,1
